,APO,,DATA,,,Global,Critical Data,Data documentation,Data governance,Data privacy,Data quality,Datalake Integration,Reference data,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DELIVERY,2025-07-28,Level,2,3,4,2,2,4,3,0,3,2,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DELIVERY,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DELIVERY,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,BOM_MANAGER,,DESIGN,,,Global,Design,Design for all,Documentation,Libraries & plugins,Prototype,Tools,Workflow,,,,,,,,,,,,,,,
,,Last Released Assessment,DESIGN,null,Score,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment,DESIGN,null,Level,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DESIGN,null,Score,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DESIGN,null,Level,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DESIGN,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DESIGN,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,BOM_MANAGER,Théo Plouvin,DEV,,,Global,API,Analytics,Architecture Decision Record,Authentication,BFF,Business & strategy,Code Management,Data Factory,Data Management,Delivery,Design System,Documentation,Model Management,Observability,Performance,Reliability,Software Design,Source Control,System Design Documents,Team,Tech Radar,Versionning
,,Last Released Assessment,DEV,2026-08-27,Score,"3,618","2,5",0,"1,25",0,0,0,0,0,0,0,0,0,0,3,0,"3,333",0,5,"4,375",5,5,0
,,Last Released Assessment,DEV,2026-08-27,Level,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,2,3,0
,,Last Released Assessment -1,DEV,2024-10-24,Score,"3,255","3,75",0,0,0,0,0,0,0,0,0,0,0,0,"1,667",0,0,0,"3,542",0,"2,188",5,0
,,Last Released Assessment -1,DEV,2024-10-24,Level,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,5,0
,,Last Pending Assessment snapshot,DEV,null,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Last Pending Assessment snapshot -1,DEV,null,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,BOM_MANAGER,Théo Plouvin,INFRA,,,Global,Cloud Native Design,Configuration / Infra Management,Database Management,Hosting Solution,Reproducibility,Secrets Management,Security,Storage Management (for unstructured data),,,,,,,,,,,,,,
,,Last Released Assessment,INFRA,2026-08-27,Score,"3,791",4,"4,167","2,333",5,0,4,0,5,,,,,,,,,,,,,,
,,Last Released Assessment,INFRA,2026-08-27,Level,0,4,2,0,4,0,3,0,5,,,,,,,,,,,,,,
,,Last Released Assessment -1,INFRA,2024-10-23,Score,"4,667",5,5,5,5,0,4,0,5,,,,,,,,,,,,,,
,,Last Released Assessment -1,INFRA,2024-10-23,Level,4,4,3,5,4,0,4,0,5,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,INFRA,null,Percentage,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,INFRA,null,Percentage,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,BOM_MANAGER,Hugo Moulart,OPERATION,,,Global,Availability / Risk Management,Change Management,Event Management,Incident Management,Knowledge / Continuous Improvement Management,Problem Management,Service Catalog Management,Service Level Management,Service Request Management,,,,,,,,,,,,,
,,Last Released Assessment,OPERATION,2024-10-24,Score,"2,429","1,667","1,917",2,"3,867",1,4,"1,667",2,"3,333",,,,,,,,,,,,,
,,Last Released Assessment,OPERATION,2024-10-24,Level,1,1,1,2,2,1,4,1,2,3,,,,,,,,,,,,,
,,Last Released Assessment -1,OPERATION,2024-04-19,Score,"2,332",1,"1,917",2,"3,867",1,4,"1,667",2,"3,333",,,,,,,,,,,,,
,,Last Released Assessment -1,OPERATION,2024-04-19,Level,1,1,1,2,2,1,4,1,2,3,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,OPERATION,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,OPERATION,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,BOM_MANAGER,Théo Plouvin,PROCESS_PRACTICES,,,Global,Culture,Lean Management,Product & Process,User needs,,,,,,,,,,,,,,,,,,
,,Last Released Assessment,PROCESS_PRACTICES,2026-08-27,Score,"3,651","4,444","3,333","3,472","2,778",,,,,,,,,,,,,,,,,,
,,Last Released Assessment,PROCESS_PRACTICES,2026-08-27,Level,1,2,2,1,1,,,,,,,,,,,,,,,,,,
,,Last Released Assessment -1,PROCESS_PRACTICES,2026-06-11,Score,"3,323","4,444","3,333","3,194","1,389",,,,,,,,,,,,,,,,,,
,,Last Released Assessment -1,PROCESS_PRACTICES,2026-06-11,Level,0,2,2,0,0,,,,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,PROCESS_PRACTICES,null,Percentage,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,PROCESS_PRACTICES,null,Percentage,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,BOM_MANAGER,Théo Plouvin,QUALITY,,,Global,Integration Tests,Organization,Performance Tests,Practices,Qualimetry,Static Code Analysis,Unit Tests,,,,,,,,,,,,,,,
,,Last Released Assessment,QUALITY,2026-08-27,Score,"2,882","3,125","3,333",0,4,5,"3,75","3,75",,,,,,,,,,,,,,,
,,Last Released Assessment,QUALITY,2026-08-27,Level,0,1,1,0,4,4,3,3,,,,,,,,,,,,,,,
